IDX,CNT,SH,DF,FT,TOV,REB,AST,STL,BLK
68.0,940836,0.5,0.603394534222755,1.2813372362452113,1.229340288849491,0.25353249663065613,0.23687635252052433,0.24838760421582506,0.2499858636361704
188.0,58511,0.5,0.5619028900548615,0.6944078891148673,1.5372511151749242,0.19027875100408473,0.4592538155218677,0.27448684862675393,0.24991710960332247
102.0,521,0.5,0.565067178502879,0.5184261036468331,0.5859884836852207,0.4324376199616123,0.4836852207293666,0.43953934740882916,0.27120921305182344
381.0,26,0.5,0.5,0.5307692307692308,1.969230769230769,0.02307692307692308,0.0,0.07692307692307693,0.4423076923076923
491.0,36,0.5,0.5,0.5055555555555555,1.9749999999999994,0.4583333333333333,0.0,0.08333333333333333,0.4027777777777778
69.0,70,0.5,0.5171428571428572,0.5028571428571429,1.9814285714285709,0.018571428571428572,0.0,0.16714285714285715,0.19571428571428573
68.0,995349,0.5,0.9026942308677659,1.249629125060657,1.2463536910169195,0.2505979309769739,0.24886778406368018,0.2497464708358576,0.25000025116818325
188.0,4651,0.5,0.8256718985164481,0.57598365942808,1.7688884110943879,0.12805848204687165,0.4929047516663083,0.3040851429800043,0.24994624811868416
68.0,1000000,0.5,1.2037376,1.2464959999999998,1.2504719999999998,0.2500048,0.250006,0.2500002,0.2500004
68.0,1000000,0.5,1.5051391999999997,1.2464959999999998,1.2521631999999998,0.2499656,0.24999,0.25000140000000004,0.24999960000000002
68.0,1000000,0.5,1.8065407999999998,1.2467583999999998,1.2496287999999998,0.250084,0.250008,0.25,0.25000000000000006
68.0,945239,0.5673716382840741,1.0276778677138796,1.2791133247781776,1.2332204870937402,0.2529835311492649,0.23808073936856183,0.2485561852610821,0.24998101009374352
188.0,53835,0.6,0.5476883068635646,0.6949159468747097,1.5177486765115629,0.19361753506083407,0.4559598774031764,0.2726813411349494,0.24991734002043284
102.0,847,0.6,0.5696576151121606,0.5245572609208973,0.6040141676505313,0.418417945690673,0.48099173553719005,0.43128689492325856,0.2676505312868949
381.0,50,0.6,0.5,0.514,1.9739999999999995,0.018000000000000002,0.0,0.11800000000000001,0.35600000000000004
491.0,23,0.6,0.5,0.5043478260869565,1.9826086956521733,0.4608695652173913,0.0,0.06521739130434782,0.41739130434782606
69.0,6,0.6,0.5,0.5,1.9999999999999993,0.0,0.0,0.18333333333333335,0.03333333333333333
68.0,989543,0.6,0.8098933548112612,1.2532922773441881,1.2445850256128332,0.2511256206147686,0.24747555184564998,0.24951396755876198,0.24999924207437174
188.0,10441,0.6,0.7572933627047217,0.6482712383871276,1.738559524949717,0.14505315582798584,0.48844938224308015,0.295661335121157,0.24998563356000386
102.0,16,0.6,0.7999999999999999,0.5,0.53125,0.46875,0.5,0.5,0.28125
68.0,999988,0.6,1.1107469289631475,1.2469709636515636,1.2514070168842024,0.25001820021840265,0.2500102001224015,0.24999839998079978,0.25000000000000006
