"GameId","Date","HomeTeamId","AwayTeamId","HomePoints","AwayPoints","HomePossessions","AwayPossessions","HomeTeamAbbreviation","AwayTeamAbbreviation"
"0022000179","2021-04-01","1610612765","1610612764",120,91,103,104,"DET","WAS"
"0022000732","2021-04-01","1610612751","1610612766",111,89,94,93,"BKN","CHA"
"0022000734","2021-04-01","1610612740","1610612753",110,115,112,111,"NOP","ORL"
"0022000736","2021-04-01","1610612746","1610612743",94,101,87,89,"LAC","DEN"
"0022000737","2021-04-02","1610612761","1610612744",130,77,99,99,"TOR","GSW"
"0022000739","2021-04-02","1610612752","1610612742",86,99,93,93,"NYK","DAL"
"0022000741","2021-04-02","1610612763","1610612750",120,108,99,99,"MEM","MIN"
"0022000743","2021-04-02","1610612762","1610612741",113,106,97,97,"UTA","CHI"
"0022000745","2021-04-02","1610612757","1610612749",109,127,106,106,"POR","MIL"
"0022000747","2021-04-03","1610612764","1610612742",87,109,93,94,"WAS","DAL"
"0022000749","2021-04-03","1610612748","1610612739",115,101,95,94,"MIA","CLE"
"0022000751","2021-04-03","1610612759","1610612754",133,139,110,109,"SAS","IND"
"0022000753","2021-04-03","1610612757","1610612760",133,85,103,103,"POR","OKC"
"0022000755","2021-04-04","1610612741","1610612751",115,107,94,94,"CHI","BKN"
"0022000757","2021-04-04","1610612738","1610612766",116,86,90,88,"BOS","CHA"
"0022000759","2021-04-04","1610612737","1610612744",117,111,104,105,"ATL","GSW"
"0022000761","2021-04-04","1610612743","1610612753",119,109,96,95,"DEN","ORL"
"0022000763","2021-04-05","1610612761","1610612764",103,101,101,100,"TOR","WAS"
"0022000785","2021-04-08","1610612760","1610612739",102,129,101,100,"OKC","CLE"
"0022000787","2021-04-08","1610612762","1610612757",122,103,98,97,"UTA","POR"
"0022000789","2021-04-08","1610612758","1610612765",101,113,101,100,"SAC","DET"
"0022000792","2021-04-09","1610612738","1610612750",145,136,113,111,"BOS","MIN"
"0022000791","2021-04-09","1610612737","1610612741",120,108,99,98,"ATL","CHI"
"0022000796","2021-04-09","1610612749","1610612766",119,127,108,108,"MIL","CHA"
"0022000798","2021-04-09","1610612744","1610612764",107,110,102,102,"GSW","WAS"
"0022000794","2021-04-10","1610612739","1610612761",115,135,103,102,"CLE","TOR"
"0022000800","2021-04-10","1610612751","1610612747",101,126,101,100,"BKN","LAL"
"0022000802","2021-04-10","1610612744","1610612745",125,109,103,103,"GSW","HOU"
"0022000804","2021-04-10","1610612757","1610612765",118,103,98,97,"POR","DET"
"0022000805","2021-04-11","1610612766","1610612737",101,105,90,89,"CHA","ATL"
"0022000807","2021-04-11","1610612739","1610612740",109,116,99,99,"CLE","NOP"
"0022000809","2021-04-11","1610612752","1610612761",102,96,96,96,"NYK","TOR"
"0022000811","2021-04-11","1610612763","1610612754",125,132,102,103,"MEM","IND"
"0022000813","2021-04-11","1610612746","1610612765",131,124,96,96,"LAC","DET"
"0022000816","2021-04-12","1610612753","1610612759",97,120,96,96,"ORL","SAS"
"0022000821","2021-04-12","1610612744","1610612743",116,107,104,102,"GSW","DEN"
"0022000817","2021-04-13","1610612750","1610612751",97,127,106,105,"MIN","BKN"
"0022000824","2021-04-13","1610612761","1610612737",103,108,97,98,"TOR","ATL"
"0022000784","2021-04-08","1610612748","1610612747",110,104,98,98,"MIA","LAL"
"0022000786","2021-04-08","1610612742","1610612749",116,101,100,99,"DAL","MIL"
"0022000788","2021-04-08","1610612746","1610612756",113,103,90,88,"LAC","PHX"
"0022000790","2021-04-09","1610612753","1610612754",106,111,104,104,"ORL","IND"
"0022000793","2021-04-09","1610612752","1610612763",133,129,108,110,"NYK","MEM"
"0022000795","2021-04-09","1610612740","1610612755",101,94,105,104,"NOP","PHI"
"0022000797","2021-04-09","1610612743","1610612759",121,119,97,99,"DEN","SAS"
"0022000799","2021-04-09","1610612746","1610612745",126,109,96,95,"LAC","HOU"
"0022000199","2021-04-10","1610612760","1610612755",93,117,100,99,"OKC","PHI"
"0022000801","2021-04-10","1610612762","1610612758",128,112,102,101,"UTA","SAC"
"0022000803","2021-04-10","1610612756","1610612764",134,106,105,105,"PHX","WAS"
"0022000806","2021-04-11","1610612743","1610612738",87,105,91,93,"DEN","BOS"
"0022000808","2021-04-11","1610612753","1610612749",87,124,99,99,"ORL","MIL"
"0022000810","2021-04-11","1610612742","1610612759",117,119,96,96,"DAL","SAS"
