"GameId","Date","HomeTeamId","AwayTeamId","HomePoints","AwayPoints","HomePossessions","AwayPossessions","HomeTeamAbbreviation","AwayTeamAbbreviation"
"0022100613","2022-01-11","1610612761","1610612756",95,99,90,91,"TOR","PHX"
"0022100415","2022-01-11","1610612741","1610612765",133,87,101,103,"CHI","DET"
"0022100615","2022-01-11","1610612740","1610612750",128,125,101,100,"NOP","MIN"
"0022100616","2022-01-11","1610612746","1610612743",87,85,93,93,"LAC","DEN"
"0022100614","2022-01-11","1610612763","1610612744",116,108,104,103,"MEM","GSW"
"0022100618","2022-01-12","1610612754","1610612738",100,119,91,91,"IND","BOS"
"0022100619","2022-01-12","1610612755","1610612766",98,109,95,96,"PHI","CHA"
"0022100620","2022-01-12","1610612764","1610612753",112,106,93,94,"WAS","ORL"
"0022100621","2022-01-12","1610612737","1610612748",91,115,99,99,"ATL","MIA"
"0022100622","2022-01-12","1610612752","1610612742",108,85,91,92,"NYK","DAL"
"0022100623","2022-01-12","1610612759","1610612745",124,128,103,103,"SAS","HOU"
"0022100626","2022-01-12","1610612758","1610612747",125,116,99,100,"SAC","LAL"
"0022100624","2022-01-12","1610612762","1610612739",91,111,92,94,"UTA","CLE"
"0022100625","2022-01-12","1610612741","1610612751",112,138,101,99,"CHI","BKN"
"0022100627","2022-01-13","1610612749","1610612744",118,99,106,105,"MIL","GSW"
"0022100628","2022-01-13","1610612763","1610612750",116,108,104,103,"MEM","MIN"
"0022100629","2022-01-13","1610612740","1610612746",113,89,97,96,"NOP","LAC"
"0022100631","2022-01-13","1610612743","1610612757",140,108,100,99,"DEN","POR"
"0022100630","2022-01-13","1610612751","1610612760",109,130,96,97,"BKN","OKC"
"0022100632","2022-01-14","1610612766","1610612753",109,116,106,106,"CHA","ORL"
"0022100633","2022-01-14","1610612765","1610612761",103,87,88,88,"DET","TOR"
"0022100634","2022-01-14","1610612754","1610612756",94,112,97,98,"IND","PHX"
"0022100635","2022-01-14","1610612755","1610612738",111,99,96,96,"PHI","BOS"
"0022100637","2022-01-14","1610612741","1610612744",96,138,95,95,"CHI","GSW"
"0022100636","2022-01-14","1610612748","1610612737",124,118,95,94,"MIA","ATL"
"0022100638","2022-01-14","1610612759","1610612739",109,114,100,100,"SAS","CLE"
"0022100640","2022-01-14","1610612758","1610612745",126,114,107,106,"SAC","HOU"
"0022100639","2022-01-14","1610612763","1610612742",85,112,98,97,"MEM","DAL"
